Department Key Result(s),Company Key Results,DRI,Department,Description,Objectives,Target Date
"Overall - 2000 Variable capture opportunities ",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Tony Doucet (https://www.notion.so/Tony-Doucet-3190d12e7cbd8096bce5da1ab20c5a36?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"Catch-all for anything that isn't marketing / sales partnerships sourced. Attributable, or trackable through ""predictable marketing"" like Google or LinkedIn. Often referred to as demand / brand marketing in bigger companie","Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Overall - 762 Growth marketing opportunities,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Tony Doucet (https://www.notion.so/Tony-Doucet-3190d12e7cbd8096bce5da1ab20c5a36?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"Growth marketing opportunities  include opportunities AI/LLM, Paid Search, Paid Social, Review Sites","Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Overall - 1890 owned opportunities within ESV,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),PMM sourced opportunities within early stage segment,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Mid market - 261 variable capture opportunities,Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"Catch-all for anything that isn't marketing / sales partnerships sourced. Attributable, or trackable through ""predictable marketing"" like Google or LinkedIn. Often referred to as demand / brand marketing in bigger companie","Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Mid market - increasing mid market ACV to 10k,Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),Engaging in PMM efforts through Packaging & Value Positioning,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
20 Active Weekly Users with 2+ months usage,20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"Attract and retain 20+ active users through a combination of value positioning, customer education and case studies",Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21),"September 30, 2026"
1000 Waitlisted Leads - 200 level ICP fit sign ups,1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),Validate positioning and messaging to recruit waitlisted leads for SRO,Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21),"September 30, 2026"
2-4 ROI case studies,2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"PMM led case studies to (1) increase feature and product adoption for existing product users, and (2) improving waitlist to user conversion with product unlocks",Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21),"October 31, 2026"
Mid market - 88 growth marketing opportunities,Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Tony Doucet (https://www.notion.so/Tony-Doucet-3190d12e7cbd8096bce5da1ab20c5a36?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"Growth marketing opportunities  include opportunities AI/LLM, Paid Search, Paid Social, Review Sites","Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Overall - $5.8M New Equity ARR,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),This tracks the total value of new subscription-based contracts added within the period.,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
